Year,Month,CAISO,ERCOT,MISO,NEPOOL,NWPP,NYPP,PJM,SPP,CONUS,CAISO_RollingAvg,ERCOT_RollingAvg,MISO_RollingAvg,NEPOOL_RollingAvg,NWPP_RollingAvg,NYPP_RollingAvg,PJM_RollingAvg,SPP_RollingAvg,CONUS_RollingAvg
1963,4,1.7999999999999998,212.4,55.7,0.0,0.0,0.8999999999999999,11.5,53.2,25.6,30.566666666666663,125.93333333333334,30.933333333333337,0.26666666666666666,0.3333333333333333,7.933333333333333,24.099999999999998,30.333333333333332,41.766666666666666
1963,5,23.0,332.6,102.9,16.0,18.2,32.8,36.4,150.6,96.7,32.0,313.5,108.66666666666667,15.9,5.3999999999999995,41.76666666666667,65.0,136.03333333333333,100.0
1963,6,72.4,497.0,269.7,131.2,36.8,178.0,188.4,376.1,219.0,131.03333333333333,469.9666666666667,212.0,110.3,72.39999999999999,189.6,170.06666666666666,267.8,241.20000000000002
1963,7,177.7,629.0,342.7,251.9,82.3,329.0,295.8,484.1,345.6,225.9333333333333,575.4666666666667,298.40000000000003,178.53333333333333,180.70000000000002,295.6333333333333,251.70000000000002,400.40000000000003,335.53333333333336
1963,8,223.3,638.2,271.7,138.0,118.4,213.9,192.7,431.0,276.2,224.73333333333335,567.2333333333333,292.43333333333334,172.9,132.79999999999998,272.9666666666667,266.3,392.43333333333334,326.23333333333335
1963,9,263.3,440.3,147.3,26.6,74.7,67.4,67.0,223.7,160.0,163.29999999999998,401.26666666666665,171.83333333333334,83.83333333333333,24.333333333333332,142.23333333333332,142.5666666666667,183.46666666666667,191.23333333333335
1963,10,79.1,241.6,80.5,25.2,7.0,24.7,16.7,127.7,62.0,62.1,213.29999999999998,51.166666666666664,3.4333333333333336,1.8,19.966666666666665,13.0,53.63333333333333,49.9
1963,11,10.0,46.3,7.5,0.0,0.0,0.0,0.0,3.4,4.1000000000000005,6.0,28.666666666666668,4.8999999999999995,0.3,0.0,1.2333333333333334,2.033333333333333,1.7,6.266666666666667
1963,12,5.7,0.8999999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.5,5.3999999999999995,1.4000000000000001,0.0,0.0,0.0,0.0,0.06666666666666667,0.5666666666666667
1964,1,0.5,2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.3600000000000003,2.6,1.0799999999999998,0.0,0.0,0.0,0.12,0.18,0.42000000000000004
1964,2,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,15.14,2.88,0.0,0.0,0.0,0.0,0.4800000000000001,1.6199999999999999
1964,3,7.5,23.6,4.9,0.0,0.0,0.0,0.2,0.6,2.6,2.65,45.7,10.45,0.0,0.0,0.1,0.35000000000000003,6.225,6.2
1964,4,21.8,172.8,42.3,0.0,0.0,1.5,7.3,52.6,21.5,23.375,147.55,37.125,0.19999999999999998,0.25,6.175,20.95,36.05,37.725
1964,5,20.4,333.3,133.0,39.4,8.2,86.6,85.6,179.8,108.7,29.75,318.275,107.225,15.925,8.6,39.525000000000006,57.85,139.675,99.175
1964,6,66.9,484.6,249.0,100.1,19.7,192.7,221.9,321.7,234.7,116.375,476.725,226.425,115.52499999999999,63.5,186.7,174.65,294.875,235.65
1964,7,197.3,634.2,351.9,201.1,138.2,310.7,309.8,534.0,354.2,213.875,588.85,309.475,196.875,156.1,303.975,262.725,421.32500000000005,338.05
1964,8,218.9,630.0,266.5,72.2,83.2,226.1,208.3,374.2,268.1,224.375,584.975,287.25,164.175,129.2,258.2,247.89999999999998,402.075,313.725
1964,9,120.5,411.1,152.4,50.2,4.2,129.4,112.0,197.1,154.4,188.3,411.025,165.7,69.525,36.925,123.525,123.67500000000001,193.525,183.425
1964,10,120.7,84.3,14.6,0.1,0.4,1.7,0.8999999999999999,15.2,41.3,66.35,220.375,58.5,8.875,3.1,21.15,13.925,72.15,52.925
1964,11,14.6,83.2,15.200000000000001,0.0,0.0,0.0,0.4,10.0,2.7,7.0,33.075,5.55,0.225,0.0,0.925,1.525,2.125,5.7250000000000005
1964,12,0.1,20.9,4.8,0.0,0.0,0.0,0.2,1.4,0.7000000000000001,1.8,4.275,1.1,0.0,0.0,0.0,0.0,0.05,0.45
1965,1,6.8,16.4,1.5,0.0,0.0,0.0,0.0,0.9,0.2,2.8833333333333333,2.5833333333333335,0.9333333333333332,0.0,0.0,0.0,0.09999999999999999,0.15,0.35000000000000003
1965,2,2.2,4.0,1.6,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,3.0666666666666664,12.666666666666666,2.4,0.0,0.0,0.0,0.0,0.4000000000000001,1.3499999999999999
1965,3,1.1,27.2,4.7,0.0,0.0,0.0,0.0,0.2,1.0,3.62,41.28,9.34,0.0,0.0,0.08,0.32,5.1,5.4799999999999995
1965,4,37.4,205.7,51.3,0.0,0.1,0.6,1.1,61.4,26.0,23.06,152.6,38.160000000000004,0.15999999999999998,0.2,5.24,18.22,39.36,34.480000000000004
1965,5,33.3,317.4,138.1,27.9,2.2,87.0,103.2,161.2,112.2,27.880000000000003,321.28000000000003,112.38,20.619999999999997,8.52,48.94,63.4,147.7,101.08
1965,6,36.9,494.0,207.7,118.2,27.1,171.1,159.8,293.0,188.1,106.47999999999999,478.3,230.94,112.43999999999998,54.739999999999995,187.9,184.1,300.24,235.45999999999998
1965,7,152.9,626.2,287.6,170.1,167.9,268.6,249.6,456.5,323.2,210.56,597.9200000000001,317.96,197.72,152.51999999999998,305.32,272.14,443.86,341.28000000000003
1965,8,259.1,578.6,254.9,201.0,124.7,265.4,243.1,386.3,308.0,223.28000000000003,593.98,283.1,145.78,120.0,251.78000000000003,239.98000000000002,396.5,304.6
1965,9,99.9,459.3,153.9,69.9,4.9,131.4,151.0,200.2,164.1,174.74,411.03999999999996,163.04000000000002,65.66,30.380000000000003,124.7,121.34,194.24,177.62
1965,10,145.3,128.1,29.2,0.1,0.8,4.1,5.3,45.8,40.6,77.22,193.16,49.72,7.12,2.56,17.259999999999998,11.32,60.760000000000005,50.6
1965,11,3.9,82.2,12.9,0.0,0.0,0.0,0.0,6.4,4.5,8.52,43.1,7.4799999999999995,0.18,0.0,0.74,1.3,3.7,5.12
1965,12,5.7,17.0,1.1,0.0,0.0,0.0,0.0,0.2,0.0,1.46,7.6,1.8399999999999999,0.0,0.0,0.0,0.04,0.31999999999999995,0.5
1966,1,0.8,3.7,0.9,0.0,0.0,0.0,0.0,0.2,0.1,3.442857142857143,4.557142857142857,1.0142857142857142,0.0,0.0,0.0,0.08571428571428572,0.2571428571428572,0.3285714285714286
1966,2,0.8,2.5,0.2,0.0,0.0,0.0,0.0,0.1,0.0,2.942857142857143,11.428571428571429,2.2857142857142856,0.0,0.0,0.0,0.0,0.3428571428571429,1.2
1966,3,7.5,27.7,4.8,0.0,0.0,0.0,0.39999999999999997,8.8,4.3,3.1999999999999997,38.93333333333333,8.566666666666666,0.0,0.0,0.06666666666666667,0.26666666666666666,4.283333333333333,4.733333333333333
1966,4,31.2,131.3,30.1,0.0,0.0,0.0,3.0000000000000004,14.8,26.4,25.45,161.45000000000002,40.35,0.13333333333333333,0.18333333333333335,4.466666666666666,15.366666666666667,43.03333333333333,33.06666666666667
1966,5,40.4,277.2,81.0,11.8,15.0,33.8,36.1,122.8,93.4,28.78333333333333,320.6333333333333,116.66666666666667,21.833333333333332,7.466666666666666,55.28333333333333,70.03333333333333,149.95000000000002,102.93333333333334
1966,6,136.9,437.6,228.2,138.3,43.7,249.0,222.5,308.4,253.6,94.88333333333334,480.9166666666667,227.0666666666667,113.39999999999999,50.13333333333333,185.1,180.04999999999998,299.03333333333336,227.5666666666667
1966,7,202.7,618.4,395.4,263.7,124.8,415.9,361.2,570.4,404.8,200.95000000000002,602.6333333333333,312.90000000000003,193.11666666666667,155.08333333333334,299.2,268.3833333333333,445.9666666666667,338.26666666666665
1966,8,282.5,540.0,242.6,182.6,124.6,330.4,253.3,327.0,319.7,229.25,591.4166666666666,278.40000000000003,154.98333333333335,120.78333333333335,254.04999999999998,240.5,394.8,305.1666666666667
1966,9,176.8,379.3,125.39999999999999,40.2,48.3,105.0,82.6,138.2,148.6,162.26666666666668,419.0833333333333,161.51666666666668,66.36666666666666,26.133333333333336,125.81666666666666,126.28333333333335,195.23333333333335,175.36666666666667
1966,10,105.5,129.0,29.0,0.7999999999999999,0.0,1.6,2.4,31.0,27.3,88.56666666666666,182.3166666666667,46.300000000000004,5.95,2.2666666666666666,15.066666666666668,10.316666666666666,58.26666666666667,48.93333333333334
1966,11,24.3,75.1,10.5,0.0,0.0,0.0,0.6,13.299999999999999,2.8,7.75,49.61666666666667,8.383333333333333,0.15,0.0,0.6166666666666667,1.0833333333333333,4.1499999999999995,5.016666666666667
1966,12,3.2,24.0,4.1000000000000005,0.0,0.0,0.0,0.0,1.1,0.7000000000000001,2.1666666666666665,9.166666666666666,1.7166666666666668,0.0,0.0,0.0,0.03333333333333333,0.3,0.4166666666666667
1967,1,1.1,16.7,1.9,0.0,0.0,0.0,0.0,1.2,0.4,3.1125000000000003,4.45,1.0,0.0,0.0,0.0,0.075,0.25,0.30000000000000004
1967,2,6.5,4.5,0.6,0.0,0.0,0.0,0.0,0.0,0.4,2.675,10.3125,2.025,0.0,0.0,0.0,0.0,0.3125,1.05
1967,3,4.2,128.3,22.4,0.0,0.0,0.0,0.30000000000000004,18.4,9.5,3.814285714285714,37.32857142857143,8.028571428571428,0.0,0.0,0.05714285714285715,0.2857142857142857,4.928571428571429,4.671428571428572
1967,4,0.0,288.3,63.2,0.0,0.0,2.9,9.9,59.0,20.0,26.271428571428572,157.14285714285714,38.885714285714286,0.11428571428571428,0.15714285714285717,3.8285714285714283,13.6,39.0,32.114285714285714
1967,5,82.6,307.5,82.7,0.1,7.8999999999999995,4.2,13.6,99.6,66.8,30.442857142857143,314.42857142857144,111.57142857142857,20.400000000000002,8.542857142857143,52.214285714285715,65.18571428571428,146.07142857142858,101.57142857142857
1967,6,73.1,527.9,239.6,107.2,61.6,180.5,216.7,279.7,225.2,100.88571428571429,474.7285714285714,227.22857142857143,116.95714285714287,49.214285714285715,194.22857142857143,186.1142857142857,300.37142857142857,231.28571428571428
1967,7,268.3,571.8,265.0,226.2,181.3,286.8,258.5,353.3,327.5,201.20000000000002,604.8857142857142,324.6857142857143,203.20000000000002,150.75714285714284,315.87142857142857,281.64285714285717,463.74285714285713,347.7714285714286
1967,8,336.0,528.5,215.2,166.6,257.2,238.0,202.8,309.2,295.8,236.85714285714286,584.0714285714286,273.2857142857143,158.92857142857142,121.32857142857142,264.95714285714286,242.32857142857142,385.11428571428576,307.24285714285713
1967,9,242.5,319.9,115.7,40.6,78.3,87.1,72.6,123.2,150.1,164.34285714285716,413.40000000000003,156.35714285714286,62.628571428571426,29.3,122.84285714285714,120.04285714285713,187.08571428571426,171.54285714285714
1967,10,125.7,130.4,36.1,7.1,0.1,20.900000000000002,19.0,56.6,47.4,90.98571428571428,174.70000000000002,43.82857142857143,5.214285714285714,1.9428571428571428,13.142857142857142,9.185714285714285,54.371428571428574,45.84285714285714
1967,11,33.8,36.4,6.1,0.0,0.0,0.0,0.0,0.9,4.5,10.114285714285714,53.25714285714286,8.685714285714285,0.1285714285714286,0.0,0.5285714285714286,1.0142857142857142,5.457142857142857,4.7
1967,12,0.0,8.8,4.9,0.0,0.0,0.0,0.0,0.5,0.9,2.314285714285714,11.285714285714286,2.0571428571428574,0.0,0.0,0.0,0.028571428571428574,0.41428571428571426,0.4571428571428572
1968,1,3.5999999999999996,8.4,0.2,0.0,0.0,0.0,0.0,0.2,0.0,2.888888888888889,5.811111111111111,1.1,0.0,0.0,0.0,0.06666666666666667,0.35555555555555557,0.3111111111111111
1968,2,11.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0999999999999996,9.666666666666666,1.8666666666666667,0.0,0.0,0.0,0.0,0.2777777777777778,0.9777777777777776
1968,3,13.4,31.5,7.0,0.0,0.0,0.0,0.8,7.300000000000001,3.2,3.8625,48.7,9.825,0.0,0.0,0.05,0.2875,6.6125,5.275
1968,4,26.7,130.4,31.0,0.0,0.2,0.2,2.0,14.7,16.7,22.9875,173.5375,41.925,0.09999999999999999,0.1375,3.7125,13.1375,41.5,30.6
1968,5,51.2,301.1,75.5,1.6,3.2,5.5,17.0,59.4,68.0,36.9625,313.5625,107.9625,17.8625,8.4625,46.2125,58.7375,140.2625,97.225
1968,6,130.4,450.3,238.1,68.6,51.4,132.3,193.3,293.6,234.7,97.4125,481.375,228.775,115.7375,50.7625,192.5125,189.9375,297.7875,230.525
1968,7,242.8,521.4,300.1,268.3,193.7,359.4,317.3,394.4,362.7,209.5875,600.75,317.225,206.075,154.575,312.2375,278.75,449.9375,345.2375
1968,8,220.4,577.9,308.1,174.8,88.3,320.1,335.4,380.5,337.3,249.25,577.125,266.025,159.8875,138.3125,261.5875,237.3875,375.625,305.8125
1968,9,192.2,337.4,117.3,51.6,30.2,155.2,112.3,125.9,164.3,174.1125,401.7125,151.275,59.875,35.425,118.375,114.1125,179.1,168.8625
1968,10,62.9,209.0,57.2,21.1,0.2,33.5,30.900000000000002,55.9,51.0,95.325,169.1625,42.8625,5.45,1.7125000000000001,14.1125,10.4125,54.65,46.0375
1968,11,11.7,32.300000000000004,3.7,0.0,0.0,0.4,0.1,2.3,1.1,13.075,51.15,8.3625,0.1125,0.0,0.4625,0.8875,4.8875,4.675
1968,12,0.2,6.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.025,10.975,2.4125,0.0,0.0,0.0,0.025,0.425,0.5125
1969,1,6.6,18.9,3.1,0.0,0.0,0.0,0.0,1.1,0.6000000000000001,2.96,6.069999999999999,1.01,0.0,0.0,0.0,0.06,0.33999999999999997,0.28
1969,2,0.0,6.9,1.2,0.0,0.0,0.0,0.0,0.0,0.2,3.96,8.73,1.6800000000000002,0.0,0.0,0.0,0.0,0.25,0.9
1969,3,9.6,8.5,0.2,0.0,0.0,0.0,0.0,0.0,2.0,4.922222222222222,46.78888888888889,9.511111111111111,0.0,0.0,0.044444444444444446,0.34444444444444444,6.688888888888889,5.044444444444444
1969,4,15.2,120.0,24.1,4.0,0.1,9.3,8.0,17.2,20.7,23.4,168.74444444444444,40.71111111111111,0.08888888888888888,0.14444444444444446,3.322222222222222,11.899999999999999,38.52222222222222,29.055555555555557
1969,5,61.7,271.3,99.8,15.5,18.1,57.400000000000006,71.8,120.2,112.9,38.544444444444444,312.17777777777775,104.35555555555555,16.055555555555557,7.877777777777776,41.68888888888889,54.099999999999994,131.27777777777777,93.97777777777777
1969,6,70.7,467.9,193.5,120.0,74.6,192.6,208.0,237.9,230.2,101.07777777777778,477.9222222222222,229.81111111111113,110.5,50.833333333333336,185.82222222222222,190.3111111111111,297.32222222222225,230.9888888888889
1969,7,226.0,665.5,345.4,172.2,125.3,278.4,307.4,513.5,360.4,213.27777777777777,591.9333333333333,315.32222222222225,212.9888888888889,158.92222222222222,317.4777777777778,283.03333333333336,443.76666666666665,347.17777777777775
1969,8,288.6,601.7,311.7,254.1,114.5,354.3,274.1,418.2,348.5,246.04444444444445,577.2111111111111,270.70000000000005,161.54444444444445,132.75555555555556,268.0888888888889,248.27777777777777,376.1666666666667,309.31111111111113
1969,9,177.0,408.8,147.1,70.2,48.6,135.3,109.9,195.3,175.9,176.12222222222223,394.56666666666666,147.5,58.955555555555556,34.84444444444445,122.46666666666667,113.91111111111111,173.1888888888889,168.35555555555555
1969,10,47.5,191.4,53.2,2.8,0.0,18.3,18.1,51.0,34.3,91.72222222222223,173.58888888888887,44.455555555555556,7.188888888888889,1.5444444444444445,16.266666666666666,12.68888888888889,54.78888888888889,46.58888888888889
1969,11,28.1,42.300000000000004,5.3,0.0,0.0,0.0,0.0,0.6000000000000001,1.8,12.922222222222222,49.05555555555556,7.844444444444444,0.1,0.0,0.4555555555555556,0.7999999999999999,4.6,4.277777777777778
1969,12,5.0,6.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.1,1.822222222222222,10.511111111111111,2.155555555555556,0.0,0.0,0.0,0.022222222222222223,0.37777777777777777,0.4555555555555555
1970,1,0.1,0.9999999999999999,1.8000000000000003,0.0,0.0,0.0,0.0,0.6000000000000001,0.2,3.5,7.76,1.2600000000000002,0.0,0.0,0.0,0.0,0.45,0.23000000000000004
1970,2,3.2,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.1,3.8600000000000003,6.790000000000001,1.47,0.0,0.0,0.0,0.0,0.16000000000000003,0.7299999999999999
1970,3,4.5,9.1,2.1999999999999997,0.0,0.0,0.0,0.0,0.30000000000000004,0.9,5.39,42.96,8.58,0.0,0.0,0.04,0.31,6.0200000000000005,4.74
1970,4,5.6000000000000005,136.5,45.3,0.1,0.0,1.7,5.9,17.3,20.3,22.58,163.87,39.05,0.48,0.14,3.9200000000000004,11.51,36.39,28.22
1970,5,78.0,258.5,104.7,12.7,4.4,48.5,79.2,121.7,115.6,40.86,308.09000000000003,103.9,16.0,8.9,43.260000000000005,55.870000000000005,130.17000000000002,95.87
1970,6,123.8,439.8,216.6,84.4,67.2,173.1,189.6,296.1,241.6,98.03999999999999,476.91999999999996,226.18,111.45,53.21,186.5,192.07999999999998,291.38,230.91
1970,7,251.0,567.7,333.8,252.2,148.70000000000002,351.2,316.9,449.5,380.6,214.55,599.29,318.33000000000004,208.91,155.56,313.57,285.46999999999997,450.73999999999995,348.5
1970,8,254.29999999999998,603.0,312.5,221.2,136.9,350.2,292.8,449.5,363.8,250.3,579.6600000000001,274.8,170.8,130.93,276.71,250.85999999999999,380.37,313.23
1970,9,206.0,424.40000000000003,171.1,70.5,11.6,161.2,170.4,214.2,212.20000000000002,176.21,395.99,147.45999999999998,60.08,36.22,123.75,113.50999999999999,175.4,169.10999999999999
1970,10,64.5,132.2,27.6,6.6,0.8,12.0,16.1,16.4,38.5,87.3,175.37,45.33,6.75,1.3900000000000001,16.470000000000002,13.23,54.410000000000004,45.36
1970,11,9.299999999999999,15.0,2.3,0.0,0.0,0.0,0.0,1.4,1.3,14.440000000000001,48.38,7.590000000000001,0.09,0.0,0.41000000000000003,0.72,4.2,4.03
1970,12,2.5,14.200000000000001,6.3999999999999995,0.0,0.0,0.0,0.0,1.8,0.6000000000000001,2.1399999999999997,10.059999999999999,1.98,0.0,0.0,0.0,0.02,0.33999999999999997,0.42000000000000004
1971,1,20.7,5.1000000000000005,4.1,0.0,0.0,0.0,0.0,1.2,0.6000000000000001,3.4,6.9799999999999995,1.16,0.0,0.0,0.0,0.0,0.44000000000000006,0.21000000000000005
1971,2,8.8,7.9,2.1,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,4.18,6.55,1.46,0.0,0.0,0.0,0.0,0.12000000000000002,0.74
1971,3,4.7,47.3,7.0,0.0,0.0,0.0,0.0,1.6,6.7,4.92,41.49,8.39,0.0,0.0,0.04,0.3,5.95,3.84
1971,4,15.799999999999999,115.5,30.5,0.0,0.0,0.0,0.1,10.6,20.2,19.560000000000002,162.92000000000002,39.46,0.48,0.13,3.1399999999999997,8.09,35.089999999999996,25.44
1971,5,32.5,294.4,67.4,2.5,2.8000000000000003,10.1,19.4,71.4,63.1,42.55,304.78000000000003,106.50999999999999,16.72,8.92,45.43,60.48,133.0,98.64000000000001
1971,6,108.5,511.4,275.0,119.3,20.6,210.0,243.9,349.9,266.1,94.52000000000001,467.7,226.54000000000002,107.61000000000001,54.71999999999999,185.29,194.88000000000002,292.69,229.86999999999998
1971,7,235.4,591.4,279.6,232.2,143.4,338.6,284.8,412.6,352.4,213.45,595.55,320.59000000000003,214.48000000000002,147.35999999999999,320.46,292.5,456.96000000000004,351.61
1971,8,320.2,511.3,256.7,216.2,162.9,306.4,243.7,368.0,326.3,255.33,582.98,276.15,174.37,133.95,283.38,250.4,385.77,315.31
1971,9,227.6,408.1,182.9,101.3,12.6,150.0,156.6,206.0,207.7,175.32,396.84000000000003,145.18,61.92,34.11,130.52,117.67,174.16000000000003,170.77
1971,10,98.4,186.8,55.2,6.699999999999999,0.2,4.3,21.1,23.5,50.3,87.67999999999999,165.76,43.279999999999994,7.280000000000001,1.34,16.020000000000003,13.98,50.839999999999996,44.660000000000004
1971,11,6.3,34.0,7.3,1.2,0.0,0.1,5.5,1.6,6.1000000000000005,15.289999999999997,44.8,7.210000000000001,0.09,0.0,0.41000000000000003,0.72,4.029999999999999,3.75
1971,12,0.0,3.1,9.2,0.0,0.0,0.0,0.1,0.4,1.7,2.2399999999999998,10.83,2.51,0.0,0.0,0.0,0.02,0.52,0.45999999999999996
1972,1,0.0,1.8,4.6,0.0,0.0,0.0,0.0,1.2000000000000002,1.0,4.59,7.479999999999999,1.5699999999999998,0.0,0.0,0.0,0.0,0.5599999999999999,0.27
1972,2,0.7999999999999999,7.4,2.8,0.0,0.0,0.0,0.0,0.6,1.6,4.96,6.13,1.42,0.0,0.0,0.0,0.0,0.10000000000000002,0.71
1972,3,10.1,51.9,7.7,0.0,0.0,0.0,1.1,1.9,14.9,5.290000000000001,39.089999999999996,7.55,0.0,0.0,0.04,0.26,5.65,3.96
1972,4,12.3,185.2,38.800000000000004,0.0,0.0,1.0,1.9000000000000001,25.5,30.9,18.69,161.9,40.33,0.48,0.11000000000000001,3.12,7.42,32.339999999999996,24.529999999999998
1972,5,80.9,285.5,100.7,10.2,13.6,12.5,30.4,95.7,89.0,44.870000000000005,302.18,105.8,15.51,8.22,45.18,60.08,131.17000000000002,98.14
